OBJECTID,COUNTRY,year,literacy,,,,,,,
702,Costa Rica,1975,88.4,,,,,,,
1412,Costa Rica,1980,91.5,,,,,,,
2134,Costa Rica,1985,92.5999999999999,,,,,,,
2859,Costa Rica,1990,93.9,,,,,,,
3638,Costa Rica,1995,94.7999999999999,,,,,,,
10958,Costa Rica,2000,94.9,,,,,,,
12598,Costa Rica,2010,96.2,,,,,,,
4308,Côte d`Ivoire,1960,5,,,,,,,
1445,Côte d`Ivoire,1980,35,,,,,,,
2892,Côte d`Ivoire,1990,34.1,,,,,,,
3674,Côte d`Ivoire,1995,40.1,,,,,,,
10994,Côte d`Ivoire,2000,48.7,,,,,,,
12634,Côte d`Ivoire,2010,56.2,,,,,,,
18776,Croatia,1990,96.7,,,,,,,
10959,Croatia,2000,98.0999999999999,,,,,,,
12599,Croatia,2010,98.7999999999999,,,,,,,
18790,Cuba,1900,43.1,,,,,,,
6052,Cuba,1910,56.3999999999999,,,,,,,
6606,Cuba,1920,61.2999999999999,,,,,,,
7233,Cuba,1930,71.7999999999999,,,,,,,
8210,Cuba,1945,66.4,,,,,,,
8580,Cuba,1950,77.5,,,,,,,
8994,Cuba,1955,78.9,,,,,,,
1413,Cuba,1980,89.2,,,,,,,
2860,Cuba,1990,94.2999999999999,,,,,,,
3640,Cuba,1995,95.7,,,,,,,
10960,Cuba,2000,99.7999999999999,,,,,,,
12600,Cuba,2010,99.7999999999999,,,,,,,
18792,Cyprus,1910,25.5,,,,,,,
18794,Cyprus,1920,35.1,,,,,,,
18796,Cyprus,1930,46.2999999999999,,,,,,,
18799,Cyprus,1945,60.5,,,,,,,
18800,Cyprus,1950,62.5,,,,,,,
4282,Cyprus,1960,75.9,,,,,,,
2861,Cyprus,1990,94.4,,,,,,,
10961,Cyprus,2000,96.7999999999999,,,,,,,
12601,Cyprus,2010,98.2999999999999,,,,,,,
7280,Czechoslovakia,1930,96.9,,,,,,,
8642,Czechoslovakia,1950,97.5,,,,,,,
4365,Czechoslovakia,1960,97.7,,,,,,,
129,Czechoslovakia,1970,97.9,,,,,,,
1523,Czechoslovakia,1980,98.2,,,,,,,
2969,Czechoslovakia,1990,98.5999999999999,,,,,,,
11082,Czech Republic,2000,99,,,,,,,
12722,Czech Republic,2010,99,,,,,,,
18891,Democratic Republic of the Congo,1950,37.5,,,,,,,
1519,Democratic Republic of the Congo,1980,59.2999999999999,,,,,,,
2965,Democratic Republic of the Congo,1990,72,,,,,,,
3758,Democratic Republic of the Congo,1995,77.2999999999999,,,,,,,
11078,Democratic Republic of the Congo,2000,81.9,,,,,,,
12718,Democratic Republic of the Congo,2010,89,,,,,,,
8581,Denmark,1950,98.5,,,,,,,
11782,Denmark,2005,99,,,,,,,
1416,Djibouti,1980,31.3999999999999,,,,,,,
2863,Djibouti,1990,41.1,,,,,,,
3643,Djibouti,1995,46.2,,,,,,,
10963,Djibouti,2000,51.3999999999999,,,,,,,
12603,Djibouti,2010,61,,,,,,,
7557,Dominican Republic,1935,26.5,,,,,,,
8582,Dominican Republic,1950,42.8999999999999,,,,,,,
8996,Dominican Republic,1955,59.8999999999999,,,,,,,
4284,Dominican Republic,1960,64.5,,,,,,,
30,Dominican Republic,1970,67.2,,,,,,,
1417,Dominican Republic,1980,73.0999999999999,,,,,,,
2864,Dominican Republic,1990,79.7999999999999,,,,,,,
3644,Dominican Republic,1995,82.0999999999999,,,,,,,
10964,Dominican Republic,2000,87,,,,,,,
11784,Dominican Republic,2005,88.7,,,,,,,
12604,Dominican Republic,2010,89.5,,,,,,,
8583,Ecuador,1950,55.7,,,,,,,
4285,Ecuador,1960,67.5,,,,,,,
707,Ecuador,1975,74.2,,,,,,,
1418,Ecuador,1980,83.5999999999999,,,,,,,
2865,Ecuador,1990,88.2999999999999,,,,,,,
3645,Ecuador,1995,90.0999999999999,,,,,,,
10965,Ecuador,2000,91,,,,,,,
11785,Ecuador,2005,84.2,,,,,,,
12605,Ecuador,2010,91.9,,,,,,,
18924,Egypt,1905,7.3,,,,,,,
18927,Egypt,1915,8.8,,,,,,,
6922,Egypt,1925,14.1,,,,,,,
7559,Egypt,1935,14.8,,,,,,,
8214,Egypt,1945,19.8999999999999,,,,,,,
8584,Egypt,1950,22.5,,,,,,,
4286,Egypt,1960,25.8,,,,,,,
708,Egypt,1975,38.2,,,,,,,
1419,Egypt,1980,39.7,,,,,,,
2141,Egypt,1985,44.3999999999999,,,,,,,
2866,Egypt,1990,47.5,,,,,,,
3646,Egypt,1995,55.6,,,,,,,
10966,Egypt,2000,55.2999999999999,,,,,,,
11786,Egypt,2005,71.4,,,,,,,
12606,Egypt,2010,72,,,,,,,
7238,El Salvador,1930,27.6,,,,,,,
8585,El Salvador,1950,39.3999999999999,,,,,,,
4287,El Salvador,1960,49,,,,,,,
33,El Salvador,1970,57.1,,,,,,,
709,El Salvador,1975,62,,,,,,,
1420,El Salvador,1980,63,,,,,,,
2867,El Salvador,1990,68.7,,,,,,,
3647,El Salvador,1995,71.5,,,,,,,
10967,El Salvador,2000,74.0999999999999,,,,,,,
11787,El Salvador,2005,83.5999999999999,,,,,,,
12607,El Salvador,2010,84.5,,,,,,,
18929,Equatorial Guinea,1950,22.5,,,,,,,
1421,Equatorial Guinea,1980,60.3999999999999,,,,,,,
2868,Equatorial Guinea,1990,73.2,,,,,,,
3648,Equatorial Guinea,1995,78.5,,,,,,,
10968,Equatorial Guinea,2000,88.2999999999999,,,,,,,
12608,Equatorial Guinea,2010,93.9,,,,,,,
18947,Eritrea,1950,3,,,,,,,
11084,Eritrea,2000,52.5,,,,,,,
12724,Eritrea,2010,67.7999999999999,,,,,,,
17831,Estonia,1990,99.7,,,,,,,
10969,Estonia,2000,99.7999999999999,,,,,,,
12609,Estonia,2010,99.7999999999999,,,,,,,
8586,Ethiopia,1950,3,,,,,,,
4883,Ethiopia,1965,6,,,,,,,
35,Ethiopia,1970,12.8,,,,,,,
1422,Ethiopia,1980,22.8999999999999,,,,,,,
2869,Ethiopia,1990,30.8,,,,,,,
3650,Ethiopia,1995,35.5,,,,,,,
10970,Ethiopia,2000,40.3999999999999,,,,,,,
11790,Ethiopia,2005,39.7999999999999,,,,,,,
12610,Ethiopia,2010,39,,,,,,,
17836,Fiji,1945,64.4,,,,,,,
17837,Fiji,1950,67.5,,,,,,,
36,Fiji,1970,79,,,,,,,
1423,Fiji,1980,83,,,,,,,
2870,Fiji,1990,89.2,,,,,,,
3651,Fiji,1995,91.5999999999999,,,,,,,
10971,Fiji,2000,93.5999999999999,,,,,,,
11791,Fiji,2005,93.7,,,,,,,
12611,Fiji,2010,96.2999999999999,,,,,,,
17891,Finland,1900,38.7999999999999,,,,,,,
17901,Finland,1910,55.2999999999999,,,,,,,
6613,Finland,1920,69.9,,,,,,,
7241,Finland,1930,84.0999999999999,,,,,,,
8587,Finland,1950,98.5,,,,,,,
4290,Finland,1960,99,,,,,,,
37,Finland,1970,99,,,,,,,
1424,Finland,1980,99,,,,,,,
2871,Finland,1990,100,,,,,,,
10972,Finland,2000,100,,,,,,,
12612,Finland,2010,100,,,,,,,
15835,France,1870,33,,,,,,,
5509,France,1900,83.5,,,,,,,
5780,France,1905,85.9,,,,,,,
6058,France,1910,88.0999999999999,,,,,,,
6614,France,1920,91.7999999999999,,,,,,,
6927,France,1925,93.9,,,,,,,
7242,France,1930,94.7,,,,,,,
7564,France,1935,96,,,,,,,
8218,France,1945,96.5999999999999,,,,,,,
8588,France,1950,96.5,,,,,,,
4291,France,1960,96.5999999999999,,,,,,,
38,France,1970,97,,,,,,,
1425,France,1980,98,,,,,,,
2872,France,1990,99,,,,,,,
10973,France,2000,99,,,,,,,
11793,France,2005,99,,,,,,,
12613,France,2010,99,,,,,,,
17915,Gabon,1950,3,,,,,,,
4292,Gabon,1960,12.4,,,,,,,
1426,Gabon,1980,40.7999999999999,,,,,,,
2873,Gabon,1990,55.8999999999999,,,,,,,
3654,Gabon,1995,63.2,,,,,,,
10974,Gabon,2000,70.7,,,,,,,
11794,Gabon,2005,83.7999999999999,,,,,,,
12614,Gabon,2010,88.4,,,,,,,
10976,Georgia,2000,99.7,,,,,,,
